College Name,Courses,2022,2023,2024
Motilal Nehru National Institute of Technology  Allahabad,Chemical Engineering,19879,20246,26372
National Institute of Technology Raipur ,Computer Science Enginnering,9492,11011,10982
National Institute of Technology Raipur ,Electrical Engineering,40385,41016,44500
National Institute of Technology Raipur ,Mechanical Engineering,45589,44942,52428
National Institute of Technology Raipur ,Electronics and Communication Engineering,15350,16160,16743
National Institute of Technology Raipur ,Chemical Engineering,34971,34975,35313
Institute of Engineering and Technology Lucknow,Computer Science Enginnering,18246,18951,36853
Institute of Engineering and Technology  Lucknow,Electrical Engineering,42772,45259,70578
Institute of Engineering and Technology  Lucknow,Mechanical Engineering,48065,53396,84197
Institute of Engineering and Technology  Lucknow,Electronics and Communication Engineering,33515,37458,58210
Institute of Engineering and Technology  Lucknow,Chemical Engineering,59601,63881,107544
Dr B R Ambedkar National Institute of Technology Jalandhar ,Computer Science Enginnering,8553,9890,9347
Dr B R Ambedkar National Institute of Technology Jalandhar ,Electrical Engineering,18786,18801,19125
Dr B R Ambedkar National Institute of Technology Jalandhar ,Mechanical Engineering,27510,42849,27605
Dr B R Ambedkar National Institute of Technology Jalandhar ,Electronics and Communication Engineering,13314,13853,14004
Dr B R Ambedkar National Institute of Technology Jalandhar ,Chemical Engineering,32803,34273,32215
Sardar Vallabhbhai National Institute of Technology  Surat,Computer Science Enginnering,5652,6593,6444
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Electrical Engineering,17378,17744,17360
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Mechanical Engineering,24540,26208,24399
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Electronics and Communication Engineering,11846,12915,35907
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Chemical Engineering,29037,29559,30056
National Institute of Technology Hamirpur ,Computer Science Enginnering,9413,10415,10724
National Institute of Technology Hamirpur ,Electrical Engineering,22190,21215,22845
National Institute of Technology Hamirpur ,Mechanical Engineering,29370,29870,30717
National Institute of Technology Hamirpur ,Electronics and Communication Engineering,15057,15797,16840
National Institute of Technology Hamirpur ,Chemical Engineering,34199,34190,35037
National Institute of Technology Kurukshetra ,Computer Science Enginnering,6193,6574,5661
National Institute of Technology Kurukshetra ,Electrical Engineering,16151,15422,14983
National Institute of Technology Kurukshetra ,Mechanical Engineering,23170,21615,20553
National Institute of Technology Kurukshetra ,Electronics and Communication Engineering,10989,11086,10202
National Institute of Technology Kurukshetra ,Chemical Engineering,,,
National Institute of Technology Jamshedpur ,Computer Science Enginnering,7796,8225,7097
National Institute of Technology Jamshedpur ,Electrical Engineering,18982,18054,16277
National Institute of Technology Jamshedpur ,Mechanical Engineering,25919,25892,25865
National Institute of Technology Jamshedpur ,Electronics and Communication Engineering,13289,12917,11377
National Institute of Technology Jamshedpur ,Chemical Engineering,,,
National Institute of Technology Goa ,Computer Science Enginnering,8933,9930,10973
National Institute of Technology Goa ,Electrical Engineering,20870,20405,20666
National Institute of Technology Goa ,Mechanical Engineering,26535,28837,27133
National Institute of Technology Goa ,Electronics and Communication Engineering,15201,15535,16382
National Institute of Technology Goa ,Chemical Engineering,,,
Indian Institute of Technology Patna ,Computer Science Enginnering,11770,12496,12205
Indian Institute of Technology Patna ,Electrical Engineering,24411,23147,23590
Indian Institute of Technology Patna ,Mechanical Engineering,30087,30523,31771
Indian Institute of Technology Patna ,Electronics and Communication Engineering,18001,17293,18124
Indian Institute of Technology Patna ,Chemical Engineering,,,
National Institute of Technology Agartala ,Computer Science Enginnering,16694,16987,18050
National Institute of Technology Agartala ,Electrical Engineering,32958,32095,32866
National Institute of Technology Agartala ,Mechanical Engineering,37926,37248,38755
National Institute of Technology Agartala ,Electronics and Communication Engineering,32754,25045,25576
National Institute of Technology Agartala ,Chemical Engineering,42382,41102,42828
National Institute of Technology Uttarakhand ,Computer Science Enginnering,7796,8225,7097
National Institute of Technology Uttarakhand ,Electrical Engineering,18982,18054,16277
National Institute of Technology Uttarakhand ,Mechanical Engineering,25919,25892,25865
National Institute of Technology Uttarakhand ,Electronics and Communication Engineering,13289,12917,15063
National Institute of Technology Uttarakhand ,Chemical Engineering,,,
National Institute of Technology Meghalaya ,Computer Science Enginnering,16124,16663,18562
National Institute of Technology Meghalaya ,Electrical Engineering,30359,31901,32723
National Institute of Technology Meghalaya ,Mechanical Engineering,33912,38138,38682
National Institute of Technology Meghalaya ,Electronics and Communication Engineering,23688,23801,26440
National Institute of Technology Meghalaya ,Chemical Engineering,,,
National Institute of Technology Silchar ,Computer Science Enginnering,9701,10645,10284
National Institute of Technology Silchar ,Electrical Engineering,23345,21545,21478
National Institute of Technology Silchar ,Mechanical Engineering,29192,28720,29066
National Institute of Technology Silchar ,Electronics and Communication Engineering,15735,21319,15236
National Institute of Technology Silchar ,Chemical Engineering,,,
Visvesvaraya National Institute of Technology Nagpur ,Computer Science Enginnering,4760,5515,5304
Visvesvaraya National Institute of Technology Nagpur ,Electrical Engineering,13644,13876,13887
Visvesvaraya National Institute of Technology Nagpur ,Mechanical Engineering,20088,20803,20820
Visvesvaraya National Institute of Technology Nagpur ,Electronics and Communication Engineering,9056,9837,9124
Visvesvaraya National Institute of Technology Nagpur ,Chemical Engineering,25734,26320,27512
National Institute of Tecnology Calicut ,Computer Science Enginnering,3843,4455,4088
National Institute of Tecnology Calicut ,Electrical Engineering,12119,11474,10194
National Institute of Tecnology Calicut ,Mechanical Engineering,17977,28794,27416
National Institute of Tecnology Calicut ,Electronics and Communication Engineering,7403,7563,6838
National Institute of Tecnology Calicut ,Chemical Engineering,23530,23968,22457
National Institute of Technology Durgapur ,Computer Science Enginnering,7234,8875,8289
