College Name,Courses,2022,2023,2024,2025
Indian Institute of Information Bombay,Computer Science Enginnering,68,61,66,185
Indian Institute of Information Bombay,Electrical Engineering,470,475,464,502
Indian Institute of Information Bombay,Mechanical Engineering,1700,1720,1685,1792
Indian Institute of Information Bombay,Electronics and Communication Engineering,410,405,400,443
Indian Institute of Information Bombay,Chemical Engineering,2550,2600,2529,2398
National Institute of Technology Rourkela ,Computer Science Enginnering,7794,3546,3786,4532
National Institute of Technology Rourkela ,Electrical Engineering,14970,11759,12520,11222
National Institute of Technology Rourkela ,Mechanical Engineering,21900,16228,17907,17570
National Institute of Technology Rourkela ,Electronics and Communication Engineering,9566,6127,6770,7526
National Institute of Technology Rourkela ,Chemical Engineering,26213,19767,21037,20258
National Institute of Technology Srinagar ,Computer Science Enginnering,26107,20540,19597,20183
National Institute of Technology Srinagar ,Electrical Engineering,35007,32597,36563,35749
National Institute of Technology Srinagar ,Mechanical Engineering,39420,39505,41252,41604
National Institute of Technology Srinagar ,Electronics and Communication Engineering,29654,28335,30765,30602
National Institute of Technology Srinagar ,Chemical Engineering,44280,42867,44450,44709
Jaypee University of Engineering and Technology Noida,Computer Science Enginnering,35691,48918,59706,61306
Jaypee University of Engineering and Technology Noida,Electronics and Communication Engineering,54061,100994,98006,94587
Indian Institute of Technology Hyderabad ,Computer Science Enginnering,585,604,649,602
Indian Institute of Technology Hyderabad ,Electrical Engineering,2230,2076,1981,1977
Indian Institute of Technology Hyderabad ,Mechanical Engineering,4536,4800,4252,4402
Indian Institute of Technology Hyderabad ,Chemical Engineering,6074,6282,5493,5685
National Institue of Tecnology  Trichy,Computer Science Enginnering,759,1147,1019,1005
National Institue of Tecnology  Trichy,Electrical Engineering,5604,5422,5244,5547
National Institue of Tecnology  Trichy,Mechanical Engineering,8445,9241,8405,8552
National Institue of Tecnology  Trichy,Electronics and Communication Engineering,3288,3609,3080,3178
National Institue of Tecnology  Trichy,Chemical Engineering,12165,13360,12706,9618
Sardar Vallabhbhai National Institute of Technology Surat ,Computer Science Enginnering,1100,1050,1000,1104
Sardar Vallabhbhai National Institute of Technology Surat ,Electrical Engineering,2200,2100,2000,2010
Sardar Vallabhbhai National Institute of Technology Surat ,Mechanical Engineering,4500,4300,4200,4154
Sardar Vallabhbhai National Institute of Technology Surat ,Electronics and Communication Engineering,2000,1900,1800,1908
Sardar Vallabhbhai National Institute of Technology Surat ,Chemical Engineering,3500,3400,3300,3454
