College Name,Courses,2022,2023,2024,2025
National Institute of Technology Durgapur ,Computer Science Enginnering,12000,11000,10000,14833
National Institute of Technology Durgapur ,Electrical Engineering,19000,31000,32000,31262
National Institute of Technology Durgapur ,Mechanical Engineering,38000,39000,40000,40526
National Institute of Technology Durgapur ,Electronics and Communication Engineering,15000,14500,14000,14191
National Institute of Technology Durgapur ,Chemical Engineering,35000,34000,33000,34059
Indian Institute of Technology Banaras Hindu University Varanasi ,Computer Science Enginnering,2187,2275,2100,2103
Indian Institute of Technology Banaras Hindu University Varanasi ,Electrical Engineering,7103,6771,6990,6801
Indian Institute of Technology Banaras Hindu University Varanasi ,Mechanical Engineering,7912,8244,8237,7876
Indian Institute of Technology Banaras Hindu University Varanasi ,Electronics and Communication Engineering,6189,5792,5981,5889
Indian Institute of Technology Banaras Hindu University Varanasi ,Chemical Engineering,13767,13544,1251,5773
National Institue of Tecnology Surathkal,Computer Science Enginnering,1083,1594,1423,1463
National Institue of Tecnology Surathkal,Electrical Engineering,5928,6713,6303,6448
National Institue of Tecnology Surathkal,Mechanical Engineering,10840,11214,10488,10664
National Institue of Tecnology Surathkal,Electronics and Communication Engineering,3971,4556,3871,4017
National Institue of Tecnology Surathkal,Chemical Engineering,13457,14070,14669,13778
Malaviya National Institute of Technology Jaipur ,Computer Science Enginnering,4998,6526,4998,5049
Malaviya National Institute of Technology Jaipur ,Electrical Engineering,19988,19608,20183,21182
Malaviya National Institute of Technology Jaipur ,Mechanical Engineering,31523,28845,31570,31229
Malaviya National Institute of Technology Jaipur ,Electronics and Communication Engineering,13637,13942,13637,13591
Malaviya National Institute of Technology Jaipur ,Chemical Engineering,31066,28381,31066,31198
Maulana Azad National Institute of Technology Bhopal ,Computer Science Enginnering,9485,10889,10403,10528
Maulana Azad National Institute of Technology Bhopal ,Electrical Engineering,17667,20288,20182,21262
Maulana Azad National Institute of Technology Bhopal ,Mechanical Engineering,24473,29967,29571,29732
Maulana Azad National Institute of Technology Bhopal ,Electronics and Communication Engineering,13700,15000,14500,14386
Maulana Azad National Institute of Technology Bhopal ,Chemical Engineering,30500,33000,32000,33186
Indian Institute of Technology Indian School of Mines Dhanbad ,Computer Science Enginnering,3009,3258,3846,3580
Indian Institute of Technology Indian School of Mines Dhanbad ,Electrical Engineering,7619,7784,6751,6920
Indian Institute of Technology Indian School of Mines Dhanbad ,Mechanical Engineering,9875,10262,9875,10074
Indian Institute of Technology Indian School of Mines Dhanbad ,Electronics and Communication Engineering,5492,5821,5982,5773
Indian Institute of Technology Indian School of Mines Dhanbad ,Chemical Engineering,11398,12473,11398,14077
Warangal Institute of Technology and Science,Computer Science Enginnering,1764,2075,1899,1978
Warangal Institute of Technology and Science,Electrical Engineering,7536,8050,7134,7161
Warangal Institute of Technology and Science,Mechanical Engineering,12370,5148,12050,10909
Warangal Institute of Technology and Science,Electronics and Communication Engineering,4984,13220,4444,7743
Warangal Institute of Technology and Science,Chemical Engineering,15872,16271,17000,17186
Indian Institute of Technology Gandhinagar ,Computer Science Enginnering,1352,1544,1544,1526
Indian Institute of Technology Gandhinagar ,Electrical Engineering,3890,3846,3846,3743
Indian Institute of Technology Gandhinagar ,Mechanical Engineering,6885,6869,6869,6962
Indian Institute of Technology Gandhinagar ,Electronics and Communication Engineering,4869,4626,4626,4538
Indian Institute of Technology Gandhinagar ,Chemical Engineering,8906,9151,9151,9419
Indian Institute of Technology Ropar ,Computer Science Enginnering,1803,1763,2234,2026
Indian Institute of Technology Ropar ,Electrical Engineering,5255,5045,5385,5291
Indian Institute of Technology Ropar ,Mechanical Engineering,7839,8344,7844,7811
Indian Institute of Technology Ropar ,Chemical Engineering,9385,10032,9603,9992
Motilal Nehru National Institute of Technology  Allahabad,Computer Science Enginnering,3598,4295,3975,3793
Motilal Nehru National Institute of Technology  Allahabad,Electrical Engineering,11378,10850,10333,11615
Motilal Nehru National Institute of Technology  Allahabad,Mechanical Engineering,17605,16883,17483,17925
Motilal Nehru National Institute of Technology  Allahabad,Electronics and Communication Engineering,8420,7837,7297,7396
Motilal Nehru National Institute of Technology  Allahabad,Chemical Engineering,19879,20246,26372,20470
National Institute of Technology Raipur ,Computer Science Enginnering,9492,11011,10982,10743
National Institute of Technology Raipur ,Electrical Engineering,40385,41016,44500,43772
National Institute of Technology Raipur ,Mechanical Engineering,45589,44942,52428,47252
National Institute of Technology Raipur ,Electronics and Communication Engineering,15350,16160,16743,16722
National Institute of Technology Raipur ,Chemical Engineering,34971,34975,35313,36004
Institute of Engineering and Technology Lucknow,Computer Science Enginnering,18246,18951,36853,31680
Institute of Engineering and Technology  Lucknow,Electrical Engineering,42772,45259,70578,45063
Institute of Engineering and Technology  Lucknow,Mechanical Engineering,48065,53396,84197,78415
Institute of Engineering and Technology  Lucknow,Electronics and Communication Engineering,33515,37458,58210,49650
Institute of Engineering and Technology  Lucknow,Chemical Engineering,59601,63881,107544,94587
Dr B R Ambedkar National Institute of Technology Jalandhar ,Computer Science Enginnering,8553,9890,9347,9506
Dr B R Ambedkar National Institute of Technology Jalandhar ,Electrical Engineering,18786,18801,19125,20528
Dr B R Ambedkar National Institute of Technology Jalandhar ,Mechanical Engineering,27510,42849,27605,34609
Dr B R Ambedkar National Institute of Technology Jalandhar ,Electronics and Communication Engineering,13314,13853,14004,13886
Dr B R Ambedkar National Institute of Technology Jalandhar ,Chemical Engineering,32803,34273,32215,33351
Sardar Vallabhbhai National Institute of Technology  Surat,Computer Science Enginnering,5652,6593,6444,6192
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Electrical Engineering,17378,17744,17360,18161
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Mechanical Engineering,24540,26208,24399,26000
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Electronics and Communication Engineering,11846,12915,35907,23898
"Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat",Chemical Engineering,29037,29559,30056,30454
National Institute of Technology Hamirpur ,Computer Science Enginnering,9413,10415,10724,10472
National Institute of Technology Hamirpur ,Electrical Engineering,22190,21215,22845,20830
National Institute of Technology Hamirpur ,Mechanical Engineering,29370,29870,30717,30634
National Institute of Technology Hamirpur ,Electronics and Communication Engineering,15057,15797,16840,16529
National Institute of Technology Hamirpur ,Chemical Engineering,34199,34190,35037,34470
National Institute of Technology Kurukshetra ,Computer Science Enginnering,6193,6574,5661,5870
National Institute of Technology Kurukshetra ,Electrical Engineering,16151,15422,14983,15854
National Institute of Technology Kurukshetra ,Mechanical Engineering,23170,21615,20553,20877
National Institute of Technology Kurukshetra ,Electronics and Communication Engineering,10989,11086,10202,10811
National Institute of Technology Jamshedpur ,Computer Science Enginnering,7796,8225,7097,7215
National Institute of Technology Jamshedpur ,Electrical Engineering,18982,18054,16277,16582
National Institute of Technology Jamshedpur ,Mechanical Engineering,25919,25892,25865,25900
National Institute of Technology Jamshedpur ,Electronics and Communication Engineering,13289,12917,11377,12773
National Institute of Technology Goa ,Computer Science Enginnering,8933,9930,10973,10405
National Institute of Technology Goa ,Electrical Engineering,20870,20405,20666,20679
National Institute of Technology Goa ,Mechanical Engineering,26535,28837,27133,28085
National Institute of Technology Goa ,Electronics and Communication Engineering,15201,15535,16382,16111
Indian Institute of Technology Patna ,Computer Science Enginnering,11770,12496,12205,20954
Indian Institute of Technology Patna ,Electrical Engineering,24411,23147,23590,26984
Indian Institute of Technology Patna ,Mechanical Engineering,30087,30523,31771,32131
Indian Institute of Technology Patna ,Electronics and Communication Engineering,18001,17293,18124,17845
National Institute of Technology Agartala ,Computer Science Enginnering,16694,16987,18050,18118
National Institute of Technology Agartala ,Electrical Engineering,32958,32095,32866,32968
National Institute of Technology Agartala ,Mechanical Engineering,37926,37248,38755,39585
National Institute of Technology Agartala ,Electronics and Communication Engineering,32754,25045,25576,26075
National Institute of Technology Agartala ,Chemical Engineering,42382,41102,42828,42985
National Institute of Technology Uttarakhand ,Computer Science Enginnering,7796,8225,7097,7215
National Institute of Technology Uttarakhand ,Electrical Engineering,18982,18054,16277,16582
National Institute of Technology Uttarakhand ,Mechanical Engineering,25919,25892,25865,25900
National Institute of Technology Uttarakhand ,Electronics and Communication Engineering,13289,12917,15063,12773
National Institute of Technology Meghalaya ,Computer Science Enginnering,16124,16663,18562,18325
National Institute of Technology Meghalaya ,Electrical Engineering,30359,31901,32723,32761
National Institute of Technology Meghalaya ,Mechanical Engineering,33912,38138,38682,39932
National Institute of Technology Meghalaya ,Electronics and Communication Engineering,23688,23801,26440,26519
National Institute of Technology Silchar ,Computer Science Enginnering,9701,10645,10284,10365
National Institute of Technology Silchar ,Electrical Engineering,23345,21545,21478,21104
National Institute of Technology Silchar ,Mechanical Engineering,29192,28720,29066,29655
National Institute of Technology Silchar ,Electronics and Communication Engineering,15735,21319,15236,17517
Visvesvaraya National Institute of Technology Nagpur ,Computer Science Enginnering,4760,5515,5304,5093
Visvesvaraya National Institute of Technology Nagpur ,Electrical Engineering,13644,13876,13887,13715
Visvesvaraya National Institute of Technology Nagpur ,Mechanical Engineering,20088,20803,20820,20717
Visvesvaraya National Institute of Technology Nagpur ,Electronics and Communication Engineering,9056,9837,9124,10073
Visvesvaraya National Institute of Technology Nagpur ,Chemical Engineering,25734,26320,27512,27905
National Institute of Tecnology Calicut ,Computer Science Enginnering,3843,4455,4088,3926
National Institute of Tecnology Calicut ,Electrical Engineering,12119,11474,10194,11826
National Institute of Tecnology Calicut ,Mechanical Engineering,17977,28794,27416,28136
National Institute of Tecnology Calicut ,Electronics and Communication Engineering,7403,7563,6838,6872
National Institute of Tecnology Calicut ,Chemical Engineering,23530,23968,22457,24421
National Institute of Technology Durgapur ,Computer Science Enginnering,7234,8875,8289,8443
National Institute of Technology Durgapur ,Electrical Engineering,18250,17700,17545,18114
National Institute of Technology Durgapur ,Mechanical Engineering,26009,25931,25921,25876
National Institute of Technology Durgapur ,Electronics and Communication Engineering,12417,12624,11921,13652
National Institute of Technology Durgapur ,Chemical Engineering,29294,31123,29472,31869
National Institute of Technology Agartala ,Computer Science Enginnering,16694,16987,18050,18118
National Institute of Technology Agartala ,Electrical Engineering,32958,32095,32866,32968
National Institute of Technology Agartala ,Mechanical Engineering,37926,37248,38755,39585
National Institute of Technology Agartala ,Electronics and Communication Engineering,32754,25045,25576,26075
National Institute of Technology Agartala ,Chemical Engineering,42382,41102,42391,42985
Indian Institution of Information Tecnology Delhi,Computer Science Enginnering,8455,9195,10231,9488
Indian Institution of Information Tecnology Delhi,Electronics and Communication Engineering,17527,17948,19404,18906
Indian Institute of Technology Hyderabad ,Computer Science Enginnering,455,839,866,792
Indian Institute of Technology Hyderabad ,Electronics and Communication Engineering,1005,2211,2136,1976
Indian Institute of Information Technology Allahabad ,Computer Science Enginnering,4573,4817,4778,4679
Indian Institute of Information Technology Allahabad ,Electronics and Communication Engineering,8178,8428,7355,8050
Indian Institute of Information Technology Guwahati,Computer Science Enginnering,17500,18011,18183,18119
Indian Institute of Information Technology Guwahati,Electronics and Communication Engineering,26358,25806,24176,25909
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Computer Science Enginnering,5932,6995,7166,6910
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Electrical Engineering,15225,15923,15709,16690
Indian Institute of Information Technology Kota,Computer Science Enginnering,18008,19195,22179,25948
Indian Institute of Information Technology Kota,Electronics and Communication Engineering,23166,26253,29951,28820
Indian Institute of  Information Technology Bhubaneswar ,Computer Science Enginnering,20543,23164,26805,26799
Indian Institute of  Information Technology Bhubaneswar ,Electrical Engineering,34445,33183,35997,35663
Indian Institute of  Information Technology Bhubaneswar ,Electronics and Communication Engineering,31587,31194,34295,33003
Institute of Engineering and Technology Lucknow,Computer Science Enginnering,7521,8697,8941,8530
Indian Institute of  Information Technology Kottayam,Computer Science Enginnering,28072,27801,31235,30278
Indian Institute of  Information Technology Kottayam,Electronics and Communication Engineering,29514,32170,34561,32406
Visvesvaraya National Institute of Technology Nagpur ,Computer Science Enginnering,21525,22917,24711,26966
Visvesvaraya National Institute of Technology Nagpur ,Electronics and Communication Engineering,29765,30978,33090,32628
Indian Institute of  Information Technology Pune,Computer Science Enginnering,13360,14966,16245,14346
Indian Institute of  Information Technology Pune,Electronics and Communication Engineering,18656,18945,21401,24188
Indian Institute of  Information Technology  Ranchi,Computer Science Enginnering,26462,28160,29136,29040
Indian Institute of  Information Technology  Ranchi,Electronics and Communication Engineering,33585,33641,35387,35943
Indian Institute of  Information Technology  Una,Computer Science Enginnering,21897,23017,25680,26949
Indian Institute of  Information Technology  Una,Electronics and Communication Engineering,30308,30755,32781,32730
Indian Institute of  Information Technology  Vadodara,Computer Science Enginnering,16490,18145,19417,17293
Indian Institute of  Information Technology  Surat,Computer Science Enginnering,16851,18314,21232,19850
Indian Institute of  Information Technology  Surat,Electronics and Communication Engineering,24315,25642,29048,27851
Indian Institute of  Information Technology  Sonepat,Computer Science Enginnering,17080,20515,25246,23166
National Institute of Technology Mizoram ,Computer Science Enginnering,22956,23850,28174,27610
National Institute of Technology Mizoram ,Electrical Engineering,38174,38576,42564,41793
National Institute of Technology Mizoram ,Mechanical Engineering,41844,42862,45177,45189
National Institute of Technology Mizoram ,Electronics and Communication Engineering,31118,33026,36437,35897
National Institute of Technology Nagaland ,Computer Science Enginnering,24409,22998,27265,27094
National Institute of Technology Nagaland ,Electrical Engineering,39812,36870,41843,41319
National Institute of Technology Nagaland ,Mechanical Engineering,43381,41952,46956,46183
National Institute of Technology Nagaland ,Electronics and Communication Engineering,32967,31705,34582,32895
Indian Institute of  Information Technology Manipur,Computer Science Enginnering,35437,36456,42798,41798
Indian Institute of  Information Technology Manipur,Electronics and Communication Engineering,40841,42135,48388,47080
Indian Institute of  Information Technology  Kalyani,Computer Science Enginnering,28928,30635,34475,31437
Indian Institute of  Information Technology  Kalyani,Electronics and Communication Engineering,33282,34949,37376,39055
Indian Institute of  Information Technology  Tiruchirappalli,Computer Science Enginnering,18981,21868,22420,24570
Indian Institute of  Information Technology  Tiruchirappalli,Electronics and Communication Engineering,28533,28798,28407,29377
Indian Institute of  Information Technology  Bhopal,Computer Science Enginnering,20448,21726,21419,21594
Indian Institute of  Information Technology  Bhopal,Electronics and Communication Engineering,29047,29537,31496,31044
Indian Institute of  Information Technology  Bhagalpur,Computer Science Enginnering,30526,32166,34146,33593
Indian Institute of  Information Technology  Bhagalpur,Electronics and Communication Engineering,35311,35538,38074,37883
National Institute of Technology Tiruchirappalli ,Computer Science Enginnering,759,1147,1019,1005
National Institute of Technology Tiruchirappalli ,Electrical Engineering,5604,5422,5244,5547
National Institute of Technology Tiruchirappalli ,Mechanical Engineering,8445,9211,8405,8552
National Institute of Technology Tiruchirappalli ,Electronics and Communication Engineering,3288,3609,3080,3178
National Institute of Technology Puducherry Karaikal ,Computer Science Enginnering,13263,14811,14359,14317
National Institute of Technology Puducherry Karaikal ,Electrical Engineering,28568,27277,27116,28468
National Institute of Technology Puducherry Karaikal ,Mechanical Engineering,33690,32924,33495,34750
National Institute of Technology Puducherry Karaikal ,Electronics and Communication Engineering,20755,20460,22136,20638
National Institute of Technology  Manipur,Computer Science Enginnering,19577,21895,25886,24379
National Institute of Technology  Manipur,Electrical Engineering,37294,36994,36106,39616
National Institute of Technology  Manipur,Mechanical Engineering,39672,41827,44551,45305
National Institute of Technology  Manipur,Electronics and Communication Engineering,27663,30243,31526,30768
National Institute of Technology Meghalaya,Computer Science Enginnering,16124,16663,18562,18325
National Institute of Technology Meghalaya,Electrical Engineering,30359,31801,32723,32761
National Institute of Technology Meghalaya,Mechanical Engineering,33912,38138,38682,39932
National Institute of Technology Meghalaya,Electronics and Communication Engineering,23688,23801,26440,26519
National Institute of Technology  Mizoram,Computer Science Enginnering,22956,23850,28174,27610
National Institute of Technology  Mizoram,Electrical Engineering,38174,38576,42564,41793
National Institute of Technology  Mizoram,Mechanical Engineering,41844,42862,45177,45189
National Institute of Technology  Mizoram,Electronics and Communication Engineering,31118,33026,36437,35897
